Wall time,Step,Value
1650370489.742579,1015,1.0
1650370517.056068,1555,0.0
1650370537.8209696,2006,1.0
1650370559.5202281,2508,1.0
1650370581.072378,3000,1.0
1650370603.1679823,3504,1.0
1650370626.3005795,4045,1.0
1650370649.6776085,4567,1.0
1650370670.6008465,5051,1.0
1650370692.8616233,5545,1.0
1650370714.7918832,6019,1.0
1650370737.672593,6525,1.0
1650370759.076307,7011,1.0
1650370783.4565918,7550,1.0
1650370805.8166814,8055,1.0
1650370826.9316432,8536,1.0
1650370848.542376,9003,1.0
1650370871.0703187,9515,1.0
1650370893.0069058,10024,1.0
1650370916.5519743,10535,1.0
1650370939.8143342,11027,1.0
1650370963.0432463,11542,1.0
1650370985.9540987,12043,1.0
1650371008.7930467,12526,1.0
1650371031.275954,13019,1.0
1650371054.248805,13505,1.0
1650371077.5511568,14011,1.0
1650371101.5252137,14522,1.0
1650371125.5300777,15044,1.0
1650371149.9765048,15589,1.0
1650371169.6022484,16007,1.0
1650371193.10605,16518,1.0
1650371216.2814481,17032,1.0
1650371238.932312,17521,1.0
1650371263.4634864,18048,1.0
1650371285.6097116,18517,1.0
1650371307.7638607,19001,1.0
1650371331.7349844,19526,1.0
1650371355.6814756,20042,1.0
1650371378.3008263,20517,1.0
1650371401.3881524,21022,1.0
1650371426.063176,21550,1.0
1650371449.078454,22052,1.0
1650371470.3749273,22509,1.0
1650371494.438861,23052,1.0
1650371516.3326,23531,1.0
1650371539.583483,24033,1.0
1650371562.2652862,24510,1.0
1650371584.677539,25004,1.0
1650371607.6727073,25503,1.0
1650371630.5087276,26010,1.0
1650371654.0390568,26518,1.0
1650371677.5757685,27039,1.0
1650371698.7044983,27504,1.0
1650371723.2647324,28042,1.0
1650371745.5170987,28537,1.0
1650371766.4872522,29004,1.0
1650371789.6923428,29510,1.0
1650371813.0777955,30025,1.0
1650371836.4872916,30541,1.0
1650371858.3745909,31010,1.0
1650371881.3641534,31511,1.0
1650371903.8303845,32003,1.0
1650371928.3100362,32544,1.0
1650371949.6255565,33010,1.0
1650371973.436713,33531,1.0
1650371995.127924,34016,1.0
1650372018.088672,34519,1.0
1650372042.1762779,35044,1.0
1650372064.4828157,35524,1.0
1650372086.8560474,36012,1.0
1650372110.2017238,36519,1.0
1650372132.185086,37001,1.0
1650372155.249794,37501,1.0
1650372180.8456628,38052,1.0
1650372203.039534,38543,1.0
1650372224.9103754,39014,1.0
1650372249.0412762,39536,1.0
1650372270.9899886,40014,1.0
1650372294.1006796,40521,1.0
1650372316.3085809,41008,1.0
1650372339.2965026,41507,1.0
1650372362.551068,42000,1.0
1650372386.6174223,42529,1.0
1650372409.162549,43021,1.0
1650372431.5772285,43500,1.0
1650372455.1376889,44001,1.0
1650372479.011314,44525,1.0
1650372501.1521716,45016,1.0
1650372525.6845062,45548,1.0
1650372548.8139114,46050,1.0
1650372570.9104853,46515,1.0
1650372593.754124,47023,1.0
1650372617.1233892,47528,1.0
1650372639.590104,48012,1.0
1650372662.621201,48501,1.0
1650372686.6008554,49039,1.0
1650372708.5489619,49503,1.0
1650372731.4069247,50008,1.0
1650372754.2350197,50503,1.0
